id,pm10,pm25,pm1,co2,co,humidity,temperature,date,long,lat,datetime,seconde
7025,5,14,11,32115,3.68,0,0,2018-01-04 13:31:12,-17.4531,14.6946,2018-01-04 13:31:12,63.931424739701
7026,5,14,11,28905,3.65,0,0,2018-01-04 13:31:14,-17.4531,14.6946,2018-01-04 13:31:14,63.931422739701006
7027,5,13,10,31612,3.69,0,0,2018-01-04 13:31:16,-17.4531,14.6946,2018-01-04 13:31:16,63.931420739701004
7028,5,14,10,32115,3.7,0,0,2018-01-04 13:31:18,-17.4531,14.6946,2018-01-04 13:31:18,63.931418739701
7029,5,14,10,-30782,3.66,0,0,2018-01-04 13:31:19,-17.4531,14.6946,2018-01-04 13:31:19,63.931417739701004
7030,5,15,10,31778,3.67,0,0,2018-01-04 13:31:21,-17.4531,14.6946,2018-01-04 13:31:21,63.931415739701
7031,5,15,10,31280,3.68,0,0,2018-01-04 13:31:23,-17.4531,14.6946,2018-01-04 13:31:23,63.931413739701
7032,5,15,10,26570,3.9,0,0,2018-01-04 13:31:25,-17.4531,14.6946,2018-01-04 13:31:25,63.931411739701005
7033,5,15,10,31280,3.67,0,0,2018-01-04 13:31:27,-17.4531,14.6946,2018-01-04 13:31:27,63.931409739701
7034,5,15,9,32455,3.68,0,0,2018-01-04 13:31:29,-17.4531,14.6946,2018-01-04 13:31:29,63.931407739701
7035,5,16,9,30790,3.64,0,0,2018-01-04 13:31:30,-17.4531,14.6946,2018-01-04 13:31:30,63.931406739701
7036,5,16,9,-30415,3.67,0,0,2018-01-04 13:31:32,-17.4531,14.6946,2018-01-04 13:31:32,63.931404739701
7037,5,16,9,31778,3.76,0,0,2018-01-04 13:31:33,-17.4531,14.6946,2018-01-04 13:31:33,63.931403739701004
7038,5,16,9,29520,3.68,0,0,2018-01-04 13:31:36,-17.4531,14.6946,2018-01-04 13:31:36,63.931400739701004
7039,5,15,9,-28124,3.66,0,0,2018-01-04 13:31:37,-17.4531,14.6946,2018-01-04 13:31:37,63.931399739701
7040,5,15,9,-32391,3.66,0,0,2018-01-04 13:31:39,-17.4531,14.6946,2018-01-04 13:31:39,63.931397739701005
7041,6,14,9,-32565,3.67,0,0,2018-01-04 13:31:41,-17.4531,14.6946,2018-01-04 13:31:41,63.931395739701
7042,6,13,10,-27927,3.65,0,0,2018-01-04 13:31:43,-17.4531,14.6946,2018-01-04 13:31:43,63.931393739701
7043,6,13,10,32455,3.66,0,0,2018-01-04 13:31:44,-17.4531,14.6946,2018-01-04 13:31:44,63.931392739701
7044,6,12,10,32284,3.67,0,0,2018-01-04 13:31:46,-17.4531,14.6946,2018-01-04 13:31:46,63.931390739701
7045,6,11,9,-24406,3.66,0,0,2018-01-04 13:31:48,-17.4531,14.6946,2018-01-04 13:31:48,63.931388739701006
7046,6,10,9,-32738,3.68,0,0,2018-01-04 13:31:53,-17.4531,14.6946,2018-01-04 13:31:53,63.931383739701005
7047,6,10,9,29833,3.66,0,0,2018-01-04 13:32:01,-17.4531,14.6946,2018-01-04 13:32:01,63.931375739701004
7048,6,10,9,26852,3.7,0,0,2018-01-04 13:32:08,-17.4531,14.6946,2018-01-04 13:32:08,63.931368739701
7049,6,9,9,24813,3.66,0,0,2018-01-04 13:32:18,-17.4531,14.6946,2018-01-04 13:32:18,63.931358739701004
7050,6,9,9,23294,3.93,0,0,2018-01-04 13:32:19,-17.4531,14.6946,2018-01-04 13:32:19,63.931357739701
7051,5,9,8,-30782,3.66,0,0,2018-01-04 13:32:19,-17.4531,14.6946,2018-01-04 13:32:19,63.931357739701
7052,5,9,8,29365,3.69,0,0,2018-01-04 13:32:20,-17.4531,14.6946,2018-01-04 13:32:20,63.931356739701
7053,5,9,8,28754,3.74,0,0,2018-01-04 13:32:21,-17.4531,14.6946,2018-01-04 13:32:21,63.931355739701004
7054,5,9,8,26431,3.72,0,0,2018-01-04 13:32:27,-17.4531,14.6946,2018-01-04 13:32:27,63.931349739701005
7055,5,10,8,28303,3.72,0,0,2018-01-04 13:32:29,-17.4531,14.6946,2018-01-04 13:32:29,63.931347739701
7056,5,9,7,29211,3.69,0,0,2018-01-04 13:32:30,-17.4531,14.6946,2018-01-04 13:32:30,63.931346739701006
7057,5,9,7,20207,3.77,0,0,2018-01-04 13:32:30,-17.4531,14.6946,2018-01-04 13:32:30,63.931346739701006
