temp	date	heure
23	2018-12-03	03:47:59
23	2018-12-03	03:17:53
23	2018-12-03	02:47:47
23.06	2018-12-03	02:17:41
23.06	2018-12-03	01:47:35
23.13	2018-12-03	01:17:28
23.13	2018-12-03	00:47:22
23.13	2018-12-03	00:17:16
23.19	2018-12-02	23:47:10
23.19	2018-12-02	23:17:04
23.19	2018-12-02	22:46:58
23.25	2018-12-02	22:16:52
23.25	2018-12-02	21:46:46
23.19	2018-12-02	21:16:40
23.25	2018-12-02	20:46:34
23.25	2018-12-02	20:16:28
23.31	2018-12-02	19:46:21
23.38	2018-12-02	19:16:15
23.38	2018-12-02	18:46:09
23.44	2018-12-02	18:16:03
23.44	2018-12-02	17:45:57
23.5	2018-12-02	17:15:51
23.5	2018-12-02	16:45:45
23.5	2018-12-02	16:15:38
23.5	2018-12-02	15:45:32
23.44	2018-12-02	15:15:26
23.5	2018-12-02	14:45:20
23.44	2018-12-02	14:15:13
23.56	2018-12-02	13:45:07
23.13	2018-12-02	13:15:01
23.25	2018-12-02	12:44:55
23.06	2018-12-02	12:14:49
23.06	2018-12-02	11:44:42
23.25	2018-12-02	11:14:36
23.19	2018-12-02	10:44:30
23	2018-12-02	10:14:24
22.81	2018-12-02	09:44:18
22.81	2018-12-02	09:14:12
22.81	2018-12-02	08:44:06
22.88	2018-12-02	08:14:00
22.75	2018-12-02	07:43:54
22.88	2018-12-02	07:13:48
22.94	2018-12-02	06:43:42
22.94	2018-12-02	06:13:35
22.94	2018-12-02	05:43:29
23	2018-12-02	05:13:23
23	2018-12-02	04:43:17
23	2018-12-02	04:13:11
23.06	2018-12-02	03:43:05
23.13	2018-12-02	03:12:59
23.06	2018-12-02	02:42:53
23.13	2018-12-02	02:12:47
23.13	2018-12-02	01:42:41
23.13	2018-12-02	01:12:35
23.19	2018-12-02	00:42:29
23.25	2018-12-02	00:12:23
23.25	2018-12-01	23:42:16
23.25	2018-12-01	23:02:08
23.31	2018-12-01	22:32:02
23.38	2018-12-01	22:01:56
23.38	2018-12-01	21:21:48
23.44	2018-12-01	20:51:42
23.5	2018-12-01	20:21:36
23.56	2018-12-01	19:51:30
23.56	2018-12-01	19:21:24
23.63	2018-12-01	18:51:18
23.69	2018-12-01	18:21:11
23.75	2018-12-01	17:51:05
23.81	2018-12-01	17:20:59
23.88	2018-12-01	16:50:53
23.94	2018-12-01	16:20:47
23.94	2018-12-01	15:50:40
24.06	2018-12-01	15:20:34
24.19	2018-12-01	14:50:28
23.94	2018-12-01	14:20:22
24.19	2018-12-01	13:50:15
23.69	2018-12-01	13:20:09
23.69	2018-12-01	12:50:03
23.5	2018-12-01	12:19:57
23.44	2018-12-01	11:49:51
23.44	2018-12-01	11:19:44
23.5	2018-12-01	10:49:38
23.25	2018-12-01	10:19:32
23	2018-12-01	09:49:26
22.94	2018-12-01	09:19:20
23	2018-12-01	08:49:14
23	2018-12-01	08:19:08
22.94	2018-12-01	07:49:02
23.06	2018-12-01	07:08:54
23.06	2018-12-01	06:38:48
23.06	2018-12-01	06:08:42
23.06	2018-12-01	05:38:36
23.06	2018-12-01	05:08:29
23.06	2018-12-01	04:38:23
23.06	2018-12-01	04:08:17
23.13	2018-12-01	03:38:11
23.13	2018-12-01	03:08:05
23.13	2018-12-01	02:37:59
23.13	2018-12-01	02:07:53
23.19	2018-12-01	01:37:47
23.19	2018-12-01	01:07:41
23.25	2018-12-01	00:27:33
23.31	2018-11-30	23:57:27
23.31	2018-11-30	23:27:21
23.31	2018-11-30	22:57:15
23.38	2018-11-30	22:27:08
23.38	2018-11-30	21:57:02
23.44	2018-11-30	21:26:56
23.5	2018-11-30	20:46:48
23.5	2018-11-30	20:16:42
23.56	2018-11-30	19:46:36
23.63	2018-11-30	19:16:30
23.69	2018-11-30	18:46:24
23.69	2018-11-30	18:16:18
23.81	2018-11-30	17:46:11
23.88	2018-11-30	17:16:05
23.88	2018-11-30	16:45:59
23.94	2018-11-30	16:15:53
24	2018-11-30	15:45:47
24	2018-11-30	15:15:41
24	2018-11-30	14:45:34
24	2018-11-30	14:15:28
23.94	2018-11-30	13:45:22
23.69	2018-11-30	13:15:16
23.63	2018-11-30	12:45:09
23.56	2018-11-30	12:15:03
23.44	2018-11-30	11:34:55
23.88	2018-11-30	11:04:49
23.44	2018-11-30	10:34:42
23.38	2018-11-30	10:04:36
23.13	2018-11-30	09:34:30
23.06	2018-11-30	09:04:24
23.13	2018-11-30	08:34:18
23.13	2018-11-30	08:04:12
23.13	2018-11-30	07:34:06
23.19	2018-11-30	07:04:00
23.19	2018-11-30	06:33:54
23.19	2018-11-30	06:03:48
23.25	2018-11-30	05:33:42
23.25	2018-11-30	05:03:36
23.31	2018-11-30	04:33:30
23.31	2018-11-30	04:03:23
23.31	2018-11-30	03:33:17
23.31	2018-11-30	03:03:11
23.25	2018-11-30	02:33:05
23.31	2018-11-30	02:02:59
23.31	2018-11-30	01:32:53
23.31	2018-11-30	01:02:47
23.38	2018-11-30	00:32:41
23.38	2018-11-30	00:02:35
23.44	2018-11-29	23:32:29
23.44	2018-11-29	23:02:23
23.5	2018-11-29	22:32:17
23.5	2018-11-29	22:02:10
23.5	2018-11-29	21:32:04
23.56	2018-11-29	21:01:58
23.56	2018-11-29	20:31:52
23.56	2018-11-29	20:01:46
23.63	2018-11-29	19:31:40
23.69	2018-11-29	19:01:34
23.69	2018-11-29	18:31:28
23.69	2018-11-29	18:01:22
23.75	2018-11-29	17:31:16
23.88	2018-11-29	17:01:10
23.88	2018-11-29	16:31:04
23.94	2018-11-29	16:00:57
24	2018-11-29	15:30:51
24	2018-11-29	15:00:45
23.94	2018-11-29	14:30:39
23.92	2018-11-29	14:00:33
23.81	2018-11-29	13:30:27
23.81	2018-11-29	13:00:21
23.63	2018-11-29	12:30:14
23.56	2018-11-29	12:00:08
23.56	2018-11-29	11:09:58
23.5	2018-11-29	10:39:52
23.44	2018-11-29	10:09:46
23.25	2018-11-29	09:29:38
23.13	2018-11-29	08:59:32
23.19	2018-11-29	08:29:26
23.56	2018-11-28	21:47:17
23.56	2018-11-28	21:17:11
23.56	2018-11-28	20:47:05
23.56	2018-11-28	20:16:59
23.56	2018-11-28	19:46:53
23.63	2018-11-28	19:16:47
23.63	2018-11-28	18:46:40
23.81	2018-11-28	18:16:34
23.81	2018-11-28	17:46:28
23.69	2018-11-28	17:16:22
23.81	2018-11-28	16:36:14
23.94	2018-11-28	16:06:08
23.94	2018-11-28	15:15:57
24.06	2018-11-28	14:45:51
24	2018-11-28	14:15:45
24.56	2018-11-28	13:45:39
23.13	2018-11-28	13:15:33
23	2018-11-28	12:45:27
22.81	2018-11-28	12:05:18
22.88	2018-11-28	11:35:12
22.88	2018-11-28	11:05:06
22.56	2018-11-28	10:35:00
22.31	2018-11-28	09:54:52
22.19	2018-11-28	09:24:46
22.19	2018-11-28	08:54:40
22.19	2018-11-28	08:24:34
22.13	2018-11-28	07:54:28
22.19	2018-11-28	07:24:22
22.19	2018-11-28	06:54:16
22.25	2018-11-28	06:24:10
22.25	2018-11-28	05:54:04
22.25	2018-11-28	05:13:56
22.31	2018-11-28	04:43:50
22.31	2018-11-28	04:13:44
22.31	2018-11-28	03:43:38
22.38	2018-11-28	03:13:32
22.44	2018-11-28	02:43:26
22.44	2018-11-28	02:13:20
22.5	2018-11-28	01:43:14
22.5	2018-11-28	01:13:07
22.56	2018-11-28	00:43:01
22.63	2018-11-28	00:12:55
22.69	2018-11-27	23:32:47
22.69	2018-11-27	23:02:41
22.75	2018-11-27	22:32:35
22.75	2018-11-27	22:02:29
22.81	2018-11-27	21:32:23
22.81	2018-11-27	21:02:17
22.88	2018-11-27	20:32:11
22.94	2018-11-27	20:02:05
22.94	2018-11-27	19:31:59
23	2018-11-27	19:01:53
23.06	2018-11-27	18:31:47
23.13	2018-11-27	18:01:41
23.19	2018-11-27	17:21:33
23.25	2018-11-27	16:51:27
23.25	2018-11-27	16:21:20
23.31	2018-11-27	15:51:14
23.38	2018-11-27	15:21:08
23.38	2018-11-27	14:51:02
23.31	2018-11-27	14:20:56
23.44	2018-11-27	13:50:50
